version:,2
modelname:,ちゃむ式新宿のアサシ
boneframe_ct:,16478
bone_name,frame_num,Xpos,Ypos,Zpos,Xrot,Yrot,Zrot,phys_disable,interp_x_ax,interp_x_ay,interp_x_bx,interp_x_by,interp_y_ax,interp_y_ay,interp_y_bx,interp_y_by,interp_z_ax,interp_z_ay,interp_z_bx,interp_z_by,interp_r_ax,interp_r_ay,interp_r_bx,interp_r_by
グルーブ,694,0.0,0.5665891170501709,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,701,0.0,-0.2800009250640869,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,705,0.0,0.434999018907547,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,710,0.0,-0.1250009387731552,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,719,0.0,0.5549989342689514,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,729,0.0,-0.6050010919570923,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,733,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,737,0.0,-0.4000009298324585,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,744,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,53,0,76,127,53,0,76,127,53,0,76,127,53,0,76,127
グルーブ,751,0.0,-0.9750000238418579,0.0,-0.0,-0.0,-0.0,False,53,0,76,127,53,0,76,127,53,0,76,127,53,0,76,127
グルーブ,759,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,53,0,76,127,53,0,76,127,53,0,76,127,53,0,76,127
グルーブ,764,0.0,-0.74000084400177,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,774,0.0,0.21499906480312347,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,777,0.0,-0.24000154435634613,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,787,0.0,0.3049990236759186,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,791,0.0,-0.60000079870224,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,795,0.0,-0.3950008749961853,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,800,0.0,-0.1250009387731552,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,810,0.0,0.0999990776181221,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,818,0.0,-0.8000010251998901,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,821,0.0,-0.40000098943710327,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,839,0.0,0.11500000208616257,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,845,0.0,-0.42499983310699463,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,863,0.0,-0.25,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,866,0.0,-0.1600000113248825,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,870,0.0,-0.6200013756752014,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,884,0.0,-0.4000009298324585,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,887,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,891,0.0,-0.2500009536743164,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,895,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,902,0.0,-0.2800009250640869,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,906,0.0,0.434999018907547,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,911,0.0,-0.1250009387731552,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,920,0.0,0.5549989342689514,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,930,0.0,-0.6050010919570923,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,934,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,938,0.0,-0.4000009298324585,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,945,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,952,0.0,-0.2749999761581421,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,960,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,965,0.0,-0.74000084400177,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,975,0.0,0.21499906480312347,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,979,0.0,-0.24000154435634613,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,983,0.0,-0.3600018322467804,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,989,0.0,0.03999999910593033,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1001,0.0,-0.2359766662120819,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1004,0.0,-0.49999988079071045,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1013,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1030,0.0,-0.33000004291534424,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1040,0.0,0.30000001192092896,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1048,0.0,-0.20999997854232788,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1059,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1072,0.0,-1.7099997997283936,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1080,0.0,-0.13500015437602997,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,1090,0.0,-0.6150000095367432,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
